"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"303",20,34,9,72,18,22,47,11,10,9,22,11,73,12,76,10,33,37,10,11
"304",10,20,17,36,17,54,104,91,39,14,38,12,31,9,131,9,55,76,161,14
"305",16,17,27,15,16,20,20,40,29,266,13,25,45,14,16,17,17,296,299,20
"306",8,71,101,14,14,38,33,10,19,58,17,21,14,12,12,202,11,11,104,13
"307",18,18,15,NA,NA,14,14,NA,NA,18,45,31,23,19,35,10,21,10,20,15
"308",16,22,13,22,10,64,33,17,12,35,404,25,16,15,12,37,27,21,34,23
"309",37,229,221,37,12,124,263,47,23,270,11,20,25,49,16,36,15,85,20,15
"310",18,20,16,14,19,37,265,136,20,9,8,75,20,11,259,17,20,20,14,19
"311",28,83,40,12,11,32,15,16,10,16,12,10,10,11,13,16,14,72,35,12
"312",16,282,167,15,33,16,13,10,16,17,9,12,15,14,21,70,10,18,18,13
"313",27,22,28,45,32,12,16,29,22,16,43,21,13,43,25,50,24,25,16,24
"314",9,359,426,8,44,16,22,11,9,10,11,14,17,12,38,22,448,63,40,59
