"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"183",11,8,9,15,33,19,11,11,12,18,10,18,10,14,12,16,7,14,18,14,32,9,13,12,8,19,10,19,12,11
"184",12,15,11,15,29,22,19,26,19,13,12,11,16,17,17,53,17,19,40,10,15,12,28,13,33,17,33,52,36,14
"185",19,15,24,21,43,11,9,9,15,14,11,11,14,13,13,16,11,13,9,28,16,9,83,13,12,14,21,83,11,27
"186",13,8,12,12,8,9,10,55,9,11,9,12,14,12,12,13,9,42,11,7,7,14,14,9,13,21,13,10,12,10
"187",60,13,13,11,31,11,16,14,15,15,12,17,15,10,11,60,14,11,33,10,11,16,11,14,31,14,11,10,21,15
"188",25,11,13,15,11,19,7,12,20,11,13,19,8,20,19,36,17,16,42,12,10,22,12,19,22,19,12,15,15,13
"189",9,9,8,15,14,17,9,17,11,10,15,14,33,14,32,10,10,11,16,12,11,15,13,14,14,8,14,12,7,14
"190",10,8,10,14,14,11,13,8,15,10,15,15,9,27,9,13,9,11,11,12,12,10,25,10,13,10,15,13,7,8
"191",80,14,17,16,12,8,80,19,25,15,14,18,9,16,10,18,26,12,19,21,10,10,19,8,56,17,12,22,28,59
"192",18,12,18,13,10,9,13,14,37,16,16,11,15,14,9,12,14,11,14,12,20,37,16,17,12,7,15,23,23,13
"193",16,8,9,18,17,16,16,16,20,17,18,19,12,9,10,34,14,20,10,10,16,11,13,16,15,16,18,19,12,34
"194",9,8,13,14,9,16,9,12,10,18,13,13,14,13,15,15,16,11,34,15,19,13,16,35,11,9,10,11,12,11
"195",20,13,109,122,29,19,14,32,75,17,13,10,13,23,28,11,120,14,16,14,36,15,12,37,15,13,45,19,23,13
"196",18,14,19,12,11,12,13,20,9,12,22,15,9,18,15,9,10,14,9,10,12,10,15,57,11,10,9,19,15,70
"197",12,11,9,17,16,11,11,53,8,8,18,40,11,9,12,9,10,17,9,13,10,11,18,52,12,32,14,7,24,8
"198",180,15,15,13,18,10,17,18,9,10,8,10,18,15,11,13,30,10,41,12,13,12,13,12,181,67,9,14,8,11
"199",19,18,16,9,19,9,17,21,49,29,11,27,8,31,20,45,23,13,15,12,15,20,12,11,54,12,23,125,130,10
"200",12,10,7,10,11,178,10,13,11,12,11,11,161,10,14,11,11,13,11,12,8,11,10,8,14,16,12,12,9,15
"201",13,10,9,9,10,9,9,11,12,34,11,13,14,12,34,10,13,10,12,13,12,9,13,18,15,10,11,15,11,14
"202",16,52,10,58,10,20,7,39,72,14,12,22,14,10,9,11,15,13,11,12,21,16,71,12,8,13,17,12,17,15
"203",22,19,23,18,123,26,11,15,70,42,8,12,11,20,28,22,128,12,15,12,20,11,33,11,12,12,15,24,16,22
"204",33,10,11,8,9,13,16,12,10,18,15,15,9,9,8,8,18,7,9,13,34,8,8,7,9,15,16,17,16,7
