"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"675",12,12,16,18,13,259,13,27,11,264,11,12,40,11,9,10,20,17,12,111,12,13,33,30,265,22,27,31,8,27
"676",11,33,33,101,25,11,15,24,132,21,120,21,23,9,10,19,15,139,158,42,15,28,67,10,12,12,32,19,24,20
"677",19,22,68,12,21,29,20,13,105,21,60,12,12,12,14,18,47,12,142,15,10,17,8,47,16,10,18,13,110,13
"678",17,36,15,145,19,182,23,34,17,10,18,9,16,11,23,13,12,15,10,13,11,12,11,11,11,27,181,10,139,9
"679",13,12,12,14,54,10,20,9,12,14,19,12,13,56,15,36,49,12,47,16,17,13,16,30,10,12,15,16,16,46
"680",31,22,111,22,16,11,10,17,15,17,41,144,15,14,17,16,29,14,15,12,151,17,158,12,12,18,115,18,16,11
"681",20,10,15,15,14,15,175,24,15,19,9,19,196,21,NA,16,21,15,16,13,20,NA,16,18,13,23,17,19,26,17
"682",35,9,24,51,31,18,11,45,21,26,16,10,12,9,9,8,130,30,100,20,93,15,14,14,46,11,74,9,11,109
"683",13,14,24,13,39,15,73,14,19,7,23,8,42,15,11,73,23,33,24,23,11,40,9,17,22,13,45,19,17,27
"684",15,191,8,10,157,11,9,14,11,12,47,9,31,14,10,27,12,10,10,41,173,9,10,182,7,25,14,17,13,18
"685",21,8,9,44,49,10,10,33,13,40,100,12,15,11,10,81,154,117,25,9,15,18,20,10,10,17,46,11,14,23
"686",66,375,20,167,18,41,7,26,11,14,15,67,313,11,15,18,16,20,11,51,22,19,16,11,10,67,241,33,8,12
"687",21,23,24,260,20,14,12,11,29,15,297,37,28,13,25,457,35,12,458,15,31,12,10,15,11,12,17,14,26,9
