"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"724",11,22,15,15,39,11,27,12,21,16,12,20,12,62,8,10,10,16,12,13,16,22,13,12,64,83,25,24,15,11,27,84,14,11,12,12,9,18,13,9
"725",29,10,16,12,89,9,10,17,18,9,16,13,11,88,12,9,21,25,12,13,9,12,10,26,31,17,11,9,9,9,10,11,9,13,13,9,56,7,18,29
"726",19,7,10,21,23,7,12,16,23,18,19,19,19,12,37,10,17,14,22,19,19,10,18,19,11,8,37,11,10,15,8,22,14,7,15,9,21,20,20,11
"727",11,14,9,13,9,15,11,16,24,13,13,11,12,10,19,10,9,16,17,15,15,10,9,8,11,14,9,8,15,16,15,14,13,8,14,14,21,11,10,12
"728",16,20,18,14,18,7,10,9,11,13,12,12,10,16,7,18,44,10,19,16,14,15,8,45,9,15,16,16,16,14,8,7,9,15,10,8,8,18,14,13
"729",10,9,13,10,11,12,10,27,15,9,7,11,8,10,10,15,13,12,10,12,9,8,13,11,13,10,13,10,8,27,13,11,11,12,11,12,10,14,8,11
"730",37,15,7,9,14,19,10,13,21,19,7,11,14,12,32,11,19,34,82,11,10,40,39,11,8,13,18,9,12,82,18,8,15,13,35,14,11,13,41,17
"731",19,24,8,18,9,18,14,8,10,11,9,9,18,16,7,12,16,10,11,15,19,10,9,19,20,11,13,22,55,11,8,11,20,9,20,9,20,54,17,9
"732",19,11,19,26,14,14,14,15,28,15,10,32,12,31,69,73,17,25,9,15,11,22,15,13,25,17,13,13,21,26,7,37,10,21,9,9,9,11,12,23
"733",14,22,10,6,23,12,19,12,70,11,11,23,8,39,9,8,16,21,13,30,17,10,11,8,16,24,12,9,13,13,11,9,12,NA,12,9,13,33,10,14
"734",11,13,11,12,12,11,9,18,13,13,51,44,11,11,12,14,12,11,8,12,9,7,9,12,12,8,11,11,13,13,13,11,11,10,12,9,12,11,13,13
"735",13,7,13,13,13,14,17,9,12,16,15,10,8,15,10,12,13,12,10,17,42,13,37,15,16,17,17,10,14,10,15,13,12,17,11,10,18,13,10,17
"736",19,12,11,8,7,9,9,9,8,17,13,13,9,9,8,9,9,9,17,13,12,9,8,12,14,47,46,17,21,10,21,13,10,9,8,18,11,10,13,9
"737",17,11,17,16,13,13,17,10,14,15,13,11,14,15,16,14,11,13,9,39,16,12,9,17,9,15,10,38,13,9,17,16,17,17,9,14,18,8,15,14
"738",15,15,13,17,37,12,14,14,11,10,17,9,13,11,12,17,17,8,11,18,11,16,14,8,12,11,10,36,9,11,12,8,15,19,11,13,17,10,15,9
"739",16,9,20,17,19,10,22,14,19,17,8,14,22,10,15,20,15,16,19,10,12,13,37,20,16,10,10,16,9,18,37,15,8,10,18,24,10,17,18,8
"740",11,27,13,18,10,11,19,24,21,22,13,13,11,17,46,11,10,10,11,10,18,11,9,8,10,16,9,10,10,17,13,9,12,18,45,11,9,8,29,12
"741",8,12,12,42,24,10,42,15,24,13,12,26,11,20,28,27,10,20,10,14,17,23,25,9,26,26,11,17,16,24,27,11,11,13,7,25,24,24,22,24
"742",23,17,18,10,9,23,10,11,25,9,19,14,22,15,21,17,13,23,22,19,36,15,16,12,60,24,10,25,10,17,18,11,11,12,12,12,9,13,21,20
"743",12,20,15,40,17,15,11,11,14,8,8,15,13,35,11,19,18,11,16,11,15,9,9,16,12,10,8,16,13,10,19,16,9,11,17,14,9,12,18,12
"744",11,19,12,24,16,10,13,13,13,7,13,15,9,8,8,15,226,10,12,16,254,14,12,17,11,14,275,20,23,9,8,19,11,12,18,9,7,10,21,16
"745",15,22,10,107,26,107,14,18,16,12,23,81,21,12,12,11,13,14,13,13,22,14,6,27,19,29,16,11,8,14,23,16,15,27,15,14,14,45,9,13
