"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"87",12,13,27,13,8,275,11,48,8,10,15,24,13,24,16,9,9,15,12,13,16,11,74,20,52,239,18,16,64,9,19,12,16,17,295,16,10,14,12,9,17,11,16,19,17,15,60,20,15,54
"88",15,10,17,15,12,13,24,15,51,23,46,15,12,20,23,18,17,10,17,23,30,59,14,17,14,19,9,27,21,19,61,19,9,17,12,16,11,20,17,22,13,17,13,11,53,13,15,19,14,20
"89",9,9,28,10,77,21,12,10,73,14,10,28,10,11,63,39,60,18,12,17,10,15,9,30,14,69,27,8,14,14,13,17,13,31,19,17,12,10,42,12,9,8,7,10,69,10,46,15,21,23
"90",3,22,404,10,411,14,22,10,10,28,18,35,9,25,27,19,38,13,39,13,23,12,15,16,38,23,8,12,37,10,12,20,25,13,22,439,15,18,13,102,35,8,21,10,16,22,332,20,20,18
"91",13,58,10,112,19,17,16,16,16,13,28,7,9,10,13,14,10,13,16,17,25,19,12,13,12,8,8,10,7,22,NA,10,10,31,294,8,15,10,15,15,9,13,22,8,23,15,14,44,17,7
"92",11,11,129,9,17,425,14,8,8,10,12,8,9,32,47,9,12,13,14,17,389,23,8,9,80,22,11,12,8,20,18,25,16,10,18,413,11,10,43,13,14,33,14,16,14,394,423,13,9,10
"93",33,11,42,22,10,16,21,11,18,28,9,12,10,30,19,21,12,28,9,14,9,9,12,20,15,12,22,26,15,14,58,13,12,47,76,11,39,21,9,23,40,23,15,29,82,22,82,13,19,16
"94",25,18,13,16,443,80,9,8,76,12,115,32,9,12,11,8,73,9,12,13,14,16,20,14,8,12,42,13,13,12,13,13,12,16,14,15,18,15,14,14,12,18,9,18,8,20,13,24,12,13
"95",11,158,22,13,14,23,9,8,12,8,13,24,62,19,14,11,39,10,29,12,16,169,12,21,98,470,466,19,451,19,14,10,19,14,44,10,11,9,17,15,21,20,20,10,444,18,28,9,31,11
"96",128,10,14,44,13,11,14,13,37,18,12,11,31,36,11,9,14,25,15,13,10,14,11,142,13,11,20,350,13,12,159,13,8,19,12,16,14,12,16,10,8,17,18,12,15,15,11,18,153,12
